idx,w_step_out,w_robot_out,w_conv_out,w_inspect,bottles,blocked,score,is_default
0,0.15,0.3,0.2,0.35,239.4,0.0,239.4,True
1,0.3246757171249298,0.3154901162043157,0.3220494205571397,0.037784746113614744,236.8,0.3214363541666667,236.63928182291667,False
2,0.014232233398534218,0.2391858568224978,0.23215517534604774,0.5144267344329202,234.4,4.406043298611111,232.19697835069445,False
3,0.034697272773258694,0.45795037286628487,0.03082126860365966,0.47653108575679687,237.2,1.0005743055555556,236.6997128472222,False
4,0.49415934909221304,0.11042839146972537,0.351521951292702,0.04389030814535946,235.4,0.3294688329653481,235.23526558351733,False
5,0.053213482286030615,0.183143517682574,0.5236665500376122,0.23997644999378326,235.4,4.197561530008681,233.30121923499567,False
6,0.27499578401909686,0.04928912320509844,0.4051946182877172,0.27052047448808764,237.0,0.30666413331257036,236.84666793334372,False
7,0.40903415376740687,0.2601459415901273,0.2827452316969235,0.048074672945542234,238.2,0.08852206076388888,238.15573896961806,False
8,0.07134379812237882,0.27218588398074023,0.15437051880963845,0.5020997990872423,230.6,0.054720571992187515,230.5726397140039,False
9,0.3457627751610857,0.11611631559906789,0.22502370048313008,0.31309720875671626,236.6,0.12474097222222222,236.53762951388887,False
10,0.18670295005576512,0.17479913626745305,0.47725434008637285,0.16124357359040895,236.2,0.06334590215245609,236.16832704892377,False
11,0.3435891726460902,0.35831516635808014,0.27928205670797007,0.018813604287859692,235.4,0.5218074723538846,235.13909626382306,False
12,0.2914970246862979,0.34811463451920555,0.2884054251471267,0.07198291564736999,240.8,0.5271622957465278,240.53641885212676,False
13,0.37224003741765865,0.1922299262549359,0.4110109451910115,0.02451909113639391,242.6,0.0,242.6,False
14,0.027700181319328655,0.2176631063087298,0.6613620739247761,0.0932746384471654,235.8,2.857079166666667,234.37146041666668,False
15,0.24219520459231275,0.33915912722763547,0.3081095815772651,0.11053608660278673,235.8,0.04083333333333333,235.77958333333333,False
16,0.11677706078992538,0.14830966256865916,0.1625343240370283,0.572378952604387,225.4,3.1825016319444446,223.8087491840278,False
17,0.39102439110538745,0.30530915859718233,0.1936860128784828,0.10998043741894734,237.6,0.03888888888888889,237.58055555555555,False
18,0.01420059571636347,0.30558476252626227,0.19849952963293768,0.4817151121244367,237.4,0.19444444444444445,237.30277777777778,False
19,0.6081614634531889,0.09958150831337954,0.014919352971046124,0.2773376752623854,240.8,0.5145796746261212,240.54271016268694,False
20,0.40799558352828696,0.13119410982927013,0.34049059322007696,0.12031971342236593,234.4,0.3866242931260766,234.20668785343696,False
21,0.6990538043163607,0.15363452476635056,0.07151089514676097,0.07580077577052788,237.0,0.03888888888888889,236.98055555555555,False
22,0.05034400634199304,0.02338893293691795,0.7343514296181658,0.1919156311029232,232.6,3.2171030208333335,230.99144848958332,False
23,0.11268475243572933,0.272849342549292,0.05465029356352101,0.5598156114514576,233.6,0.2963888888888889,233.45180555555555,False
24,0.5491120093175997,0.13993575499394514,0.0852562864990488,0.2256959491894063,235.4,0.600583548702944,235.09970822564853,False
25,0.09720347538365755,0.02415130973460873,0.16057350918582558,0.7180717056959082,227.4,3.1581752471354165,225.8209123764323,False
26,0.13904459195895352,0.42483286685466193,0.2820492296052103,0.15407331158117413,235.6,0.12776456732596425,235.536117716337,False
27,0.45970805676022214,0.18057701318273262,0.2652646717729511,0.09445025828409426,245.4,0.0,245.4,False
28,0.0813670196110812,0.7967233188031977,0.052115126828059154,0.06979453475766201,233.0,1.6532245944427437,232.17338770277863,False
29,0.13056965270749196,0.4071858901099076,0.17417006768665133,0.2880743894959491,243.4,0.0,243.4,False
30,0.4282135315395127,0.30567270873675917,0.23221997855623006,0.033893781167498055,240.8,0.5471183111931517,240.52644084440342,False
31,0.5488566299918759,0.2097183913541894,0.05711053892801245,0.18431443972592226,235.8,0.7883201533722846,235.40583992331386,False
32,0.03133630372349071,0.4064119637126525,0.4315457700338333,0.1307059625300235,234.0,0.5055555555555555,233.74722222222223,False
33,0.009039874138533866,0.538216846824926,0.1592970550460833,0.2934462239904569,240.2,0.0,240.2,False
34,0.09373869383826347,0.4454249011577415,0.43609089651924965,0.024745508484745216,237.8,0.5075000000000001,237.54625000000001,False
35,0.7011539726579368,0.08695329816353899,0.18043407740110923,0.031458651777415025,235.6,0.0,235.6,False
36,0.29393379551445825,0.08552008797203454,0.48219421437953214,0.13835190213397502,241.2,0.19047628809179692,241.10476185595408,False
37,0.30758141478436873,0.20847809061527964,0.29747981546391705,0.18646067913643452,236.2,0.25031031017729666,236.07484484491135,False
38,0.12935437599285224,0.006060831885454616,0.33499716958299197,0.5295876225387011,233.2,3.5693588194444446,231.41532059027776,False
39,0.08373849949139335,0.49065952752299935,0.024227696039921722,0.4013742769456855,236.0,0.4111111111111111,235.79444444444445,False
40,0.10129589397682304,0.18589683518409109,0.6775202718679283,0.035286998971157696,235.6,2.702990953936632,234.24850452303167,False
41,0.06811497950619141,0.4788142044137077,0.35036643763393255,0.10270437844616845,238.8,0.0665131972600789,238.76674340136998,False
42,0.12846179814515812,0.2172671985513472,0.5504486915306186,0.10382231177287593,237.0,0.1,236.95,False
43,0.2150804124435514,0.09957104011810854,0.08555216071481149,0.5997963867235286,239.2,0.3539861111111111,239.02300694444443,False
44,0.2333930082685015,0.5616637079221745,0.1269328392056717,0.07801044460365229,230.8,1.4666327780011659,230.06668361099943,False
45,0.24316382801714737,0.30170785289801305,0.20239811357319645,0.25273020551164316,235.8,0.054720571992187515,235.77263971400393,False
