idx,w_step_out,w_pre_var,w_var,w_cont,w_inspect,bottles,blocked,score,is_default
0,0.1,0.1,0.2,0.3,0.3,227.8,0.38488956732596424,227.60755521633703,True
1,0.2041117276905724,0.1374163193925564,0.15776153339024326,0.09959139455129186,0.401119024975336,229.4,0.3699812526693712,229.2150093736653,False
2,0.4048466196511675,0.344699228040411,0.13871321326832,0.08671384816134006,0.025027090878761513,237.8,3.4215651942754697,236.0892174028623,False
3,0.5068450647241438,0.01185090285390505,0.22989794719480006,0.16377724151740083,0.08762884370975016,233.0,2.4539234421833784,231.7730382789083,False
4,0.05436417753285018,0.12451112648233147,0.013184778944665987,0.4347948764309519,0.3731450406092005,224.8,0.35140276458604314,224.62429861770698,False
5,0.26636314495991836,0.24407741107622605,0.4181188657523072,0.009190529181451709,0.062250049030096566,235.0,0.5975695165183531,234.7012152417408,False
6,0.0841142157225723,0.4197459645807064,0.06814913863510565,0.10835762660664544,0.3196330544549703,233.6,0.8350801982641125,233.18245990086794,False
7,0.11330182780021006,0.19750300109701457,0.49612890041137514,0.1445258275872034,0.04854044310419683,229.8,0.1,229.75,False
8,0.3931722503804159,0.2879885449142777,0.2827915859330499,0.029015793843213507,0.007031824929042885,232.8,3.6845675726924334,230.95771621365378,False
9,0.08050116524136157,0.032384643358646006,0.3954569747147552,0.050046927456267716,0.44161028922896944,229.0,0.1,228.95,False
10,0.05581365804974224,0.09649951483640531,0.19554401402362734,0.5400239741620557,0.11211883892816955,226.0,0.565736774303073,225.71713161284848,False
11,0.36198000225117,0.17706571294858237,0.11935627639871589,0.27061179146122877,0.070986216940303,233.4,1.4697511416027769,232.6651244291986,False
12,0.2005785739988355,0.022991808925727067,0.33335462540381516,0.3725884323193767,0.07048655935224553,230.8,0.3,230.65,False
13,0.11661177076604426,0.05187759427066325,0.1332947813318999,0.29498984800602457,0.4032260056253681,231.0,0.3506860641001917,230.8246569679499,False
